chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1.d14_WT1	c2.d14_WT2	c3.d14_WT3	c4.d14_WT4	t1.d14_HOM1	t2.d14_HOM2	t3.d14_HOM3	t4.d14_HOM4	logFC	logCPM	PValue	FDR
7	+	chr7:102083115-102096395	ENSMUSG00000100254	Trpc2	protein_coding	[102083758]	1	113	12.2	10.6	7.1	14.9	19.3	23	19.7	17.2	0.864863712663457	4.11695698257759	0.00368999568493896	0.407201876761499
12	+	chr12:76404175-76406933	ENSMUSG00000059970	Hspa2	protein_coding	[76406933]	1	61	10.4	8.3	13.3	12.6	5.5	3.1	5.5	6.1	-1.11922939767003	3.362175423195	0.00382437303304315	0.41341457697548
4	-	chr4:136895916-136898802	ENSMUSG00000036887	C1qa	protein_coding	[136895918]	1	193	34.8	37.1	28.4	26.4	24.8	12.5	20.8	20.2	-0.717393784647121	4.79755780492641	0.00383444223847193	0.41341457697548
10	+	chr10:38965514-39110187	ENSMUSG00000019846	Lama4	protein_coding	[39110180]	1	226	29.6	48.5	32.9	32.2	22	15.7	24	27.3	-0.722880272143357	4.99592284035095	0.00389504693415941	0.415176593663809
14	-	chr14:118985038-119099429	ENSMUSG00000042104	Uggt2	protein_coding	[118986193, 118983804]	2	206	20.9	16.7	21.3	28.7	30.3	33.5	39.3	33.3	0.673946021830623	4.9019255927299	0.00410086858953682	0.432203903032083
10	+	chr10:43579168-43584261	ENSMUSG00000047139	Cd24a	protein_coding	[43584261]	1	3743	376.2	396.8	488.4	439.1	461.6	716.1	529.7	571.3	0.421068218619407	8.96718425833587	0.00422063786191735	0.43685043339856
X	+	chrX:7878261-7883431	ENSMUSG00000031155	Pim2	protein_coding	[7883429]	1	189	27.9	35.6	31.1	28.7	28.9	14.6	19.7	13.1	-0.758023676412176	4.76856627750639	0.00426696147217638	0.43685043339856
7	+	chr7:83631958-83653126	ENSMUSG00000046027	Stard5	protein_coding	[83642321]	1	53	12.2	9.1	6.2	13.8	5.5	3.1	4.4	4	-1.20423304424019	3.20735612694169	0.00428467376041231	0.43685043339856
8	+	chr8:60890417-60907579	ENSMUSG00000038005	2700029M09Rik	protein_coding	[60907570]	1	552	95.8	89.4	82.6	73.6	62	53.3	55.7	75.7	-0.457279717678194	6.24024807037175	0.00454393733228969	0.452228109646599
6	+	chr6:49319273-49341581	ENSMUSG00000050786	Ccdc126	protein_coding	[49341580]	1	63	8.7	7.6	1.8	3.4	12.4	14.6	13.1	8.1	1.20019633255703	3.40655161624474	0.00459176326802049	0.452228109646599
12	-	chr12:101746564-101819054	ENSMUSG00000021186	Fbln5	protein_coding	[101749939]	1	116	20.9	33.3	13.3	12.6	6.9	8.4	8.7	13.1	-1.10784567173807	4.12217906245237	0.00460163203732937	0.452228109646599
8	+	chr8:105373273-105382861	ENSMUSG00000014782	Plekhg4	protein_coding	[105382853]	1	75	15.7	12.1	14.2	13.8	13.8	5.2	4.4	3	-1.13159852132283	3.60630095563295	0.00462834739083939	0.452228109646599
9	+	chr9:108507712-108515940	ENSMUSG00000032604	Qars	protein_coding	[108515935]	1	463	50.5	54.5	52.4	48.3	64.8	87.8	57.9	77.7	0.484744215268196	6.00150316075446	0.0047327799483308	0.45547522286372
X	+	chrX:73673149-73682501	ENSMUSG00000019558	Slc6a8	protein_coding	[73682497]	1	227	27.9	25.7	23.1	20.7	37.2	46	31.7	33.3	0.614211934354013	5.02817758826556	0.00479290223912234	0.45547522286372
1	+	chr1:161034421-161038538	ENSMUSG00000053332	Gas5	processed_transcript	[161038536]	1	6585	689.6	843.6	786	774.8	840.5	1020.4	1014.7	1010.3	0.326366411726044	9.77418362693674	0.00480725448438255	0.45547522286372
3	-	chr3:146505955-146521428	ENSMUSG00000028187	Rpf1	protein_coding	[146506417]	1	65	3.5	3.8	5.3	9.2	8.3	11.5	13.1	15.1	1.1598853230653	3.44099581909971	0.00490639134783502	0.459175620641738
4	+	chr4:95967239-96025412	ENSMUSG00000028572	Hook1	protein_coding	[96025410, 96024931, 96024414]	3	484	41.8	45.4	63.1	59.8	90.9	87.8	53.5	78.7	0.545418049102865	6.07114925144102	0.00496324207287581	0.459175620641738
10	+	chr10:57784880-57788449	ENSMUSG00000019874	Fabp7	protein_coding	[57788451]	1	14503	2345.7	2041.6	2247.8	1984.2	1813.2	1748	1506.2	1853.1	-0.315948270079428	10.9248378028864	0.00499316772979289	0.459175620641738
14	-	chr14:45134447-45220327	ENSMUSG00000021830	Txndc16	protein_coding	[45208001]	1	68	7	7.6	4.4	3.4	5.5	16.7	12	15.1	1.1548058942372	3.48920119351306	0.00510225214242859	0.460166828773792
17	+	chr17:37045965-37075066	ENSMUSG00000024462	Gabbr1	protein_coding	[37049466, 37049070]	2	785	85.3	85.6	90.6	90.8	108.8	165.2	116.9	98.9	0.476828728178805	6.74807184250009	0.00513032922012127	0.460166828773792
11	+	chr11:115814723-115823093	ENSMUSG00000020781	Tsen54	protein_coding	[115823088]	1	171	8.7	22	16.9	19.5	23.4	32.4	27.3	28.3	0.650273157229756	4.63925436238001	0.00515112121761707	0.460166828773792
9	+	chr9:108783795-108806336	ENSMUSG00000032599	Ip6k2	protein_coding	[108797988, 108797679]	2	899	99.3	103	108.3	96.6	154.3	97.2	167.1	143.3	0.455729952260219	6.94360821357663	0.00536631018118923	0.473892450891962
7	+	chr7:108934416-108942950	ENSMUSG00000031029	Eif3f	protein_coding	[108941688]	1	2593	299.5	345.3	298.4	287.4	394.1	397.3	370.3	377.5	0.316888818019208	8.44540468013594	0.00540580940782941	0.473892450891962
4	-	chr4:4762483-4793354	ENSMUSG00000066324	Impad1	protein_coding	[4762484, 4764229, 4764031]	3	1949	310	275.6	278.9	301.2	221.8	214.3	234.8	252.3	-0.328144006494206	8.03850972201126	0.0055759043616205	0.480144759133602
15	-	chr15:38487429-38519265	ENSMUSG00000037458	Azin1	protein_coding	[38489794, 38490122, 38487427, 38489453, 38488311]	5	865	148	128	127.9	125.3	111.6	92	110.3	88.8	-0.388842622423049	6.88368996155194	0.00557950732895124	0.480144759133602
18	-	chr18:37746558-37768241	ENSMUSG00000097330	Gm26672	processed_transcript	[37751377]	1	42	8.7	9.1	7.1	8	6.9	0	1.1	4	-1.51389371577482	2.9526882479788	0.00563492607342924	0.480257162130493
11	+	chr11:67277123-67308633	ENSMUSG00000055775	Myh8	protein_coding	[67308630]	1	107	5.2	6.8	2.7	5.7	26.2	3.1	2.2	63.6	2.19001240576421	4.04598863822262	0.00568321375229048	0.480257162130493
17	-	chr17:34950237-34952470	ENSMUSG00000092203	1110038B12Rik	processed_transcript	[34950241]	1	649	66.2	76.5	72.8	77	84	124.4	101.6	88.8	0.442400836204325	6.47408967920344	0.00576825947261252	0.480345097002015
1	-	chr1:78497025-78512157	ENSMUSG00000090486	BC035947	protein_coding	[78497033]	1	42	0	3	0.9	5.7	6.9	14.6	2.2	11.1	1.73590571971261	2.95698315912224	0.00578667334341446	0.480345097002015
19	-	chr19:36917549-36919614	ENSMUSG00000047632	Fgfbp3	protein_coding	[36917568]	1	117	8.7	7.6	12.4	16.1	26.2	19.9	14.2	23.2	0.888724337097568	4.16212830221981	0.00584659741405056	0.481062138103458
5	+	chr5:88886817-89239652	ENSMUSG00000060961	Slc4a4	protein_coding	[89239651]	1	1879	311.7	294.6	287.7	249.5	265.9	175.6	225	204.9	-0.39569202554812	7.98549345454525	0.00589799691621304	0.48107140064416
13	-	chr13:101680562-101768216	ENSMUSG00000041417	Pik3r1	protein_coding	[101681084]	1	2032	310	330.2	319.7	271.3	270.1	169.4	258.9	229.1	-0.414868855791117	8.08731679220624	0.00595527837563274	0.481556130719268
2	-	chr2:114009600-114013618	ENSMUSG00000068615	Gjd2	protein_coding	[114009607]	1	4003	698.3	684.6	540	631.1	578.7	247.8	476.2	452.2	-0.542614900408939	9.07583351860158	0.0061372634646135	0.490054810043977
2	+	chr2:180710116-180718732	ENSMUSG00000027573	Gid8	protein_coding	[180718721, 180718494]	2	727	114.9	112.1	100.4	119.6	77.2	60.6	90.7	99.9	-0.43476392467266	6.62978347287978	0.00620885312998922	0.490054810043977
