chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1.KO_WT1	c2.KO_WT2	c3.KO_WT3	c4.KO_WT4	t1.KO_HOM1	t2.KO_HOM2	t3.KO_HOM3	t4.KO_HOM4	logFC	logCPM	PValue	FDR
2	-	chr2:71271062-71367748	ENSMUSG00000027010	Slc25a12	protein_coding	[71274745, 71274269, 71271065]	3	1930	176.4	194.3	205.9	225.8	136.4	145.5	119.8	134.7	-0.578064744719026	7.39603898938891	7.17566152242772e-07	0.00048048229554176
1	-	chr1:173331885-173333749	ENSMUSG00000037872	Ackr1	protein_coding	[173331890]	1	1957	194.4	215.8	208	197.9	139.5	142.1	151.9	106.3	-0.596405036337595	7.41464819280533	8.23837354376293e-07	0.000517163899209718
9	-	chr9:63138169-63148960	ENSMUSG00000022245	Skor1	protein_coding	[63138173]	1	1735	128	120.3	124.1	107.9	184.7	157.6	197.4	168.3	0.555316849034428	7.22960370555104	2.17724168834226e-06	0.0012863656186888
1	+	chr1:75507076-75510365	ENSMUSG00000032968	Inha	protein_coding	[75510361]	1	341	42.2	42.2	36	33.4	21	20.7	17.4	23.8	-0.891818465983933	4.94536234202641	2.6369985824324e-06	0.00147144520899728
X	-	chrX:142304751-142306293	ENSMUSG00000090122	Kcne1l	protein_coding	[142304752]	1	1649	168.8	179.1	150.2	189.4	115.4	116.8	94.4	130.1	-0.588824588709364	7.1708482128405	3.03349584071147e-06	0.00160360169600558
18	+	chr18:35557131-35557241	ENSMUSG00000104863	AC121821.1	miRNA	[35557883, 35558212]	2	550	39.4	24.9	38.1	31.8	55.3	52.9	73	59.4	0.838846228019213	5.59843214158116	3.56162250425529e-06	0.00178864682163701
13	-	chr13:91880399-92131655	ENSMUSG00000021708	Rasgrf2	protein_coding	[91880407]	1	2077	206.9	214.4	196	222.7	147.3	162.8	145.9	140.6	-0.4906840282941	7.49792901701147	3.77831698735376e-06	0.00180711503909434
15	-	chr15:37366174-37792569	ENSMUSG00000051359	Ncald	protein_coding	[37366266]	1	5251	532.7	469.6	526.1	579.8	342.9	397.4	407.6	375.7	-0.466414777504292	8.83013337259219	4.56035775606369e-06	0.00208201060463199
15	-	chr15:88687299-88734232	ENSMUSG00000022387	Brd1	protein_coding	[88687296, 88687034]	2	1644	111.4	119.6	107.2	124.2	168.3	150.1	182.1	164.4	0.522784985979066	7.15375578189653	5.7539973148471e-06	0.00240051974028229
5	+	chr5:88886817-89239652	ENSMUSG00000060961	Slc4a4	protein_coding	[89239651]	1	1418	141.1	150.8	130.5	190.1	83.4	84	86.3	121.5	-0.704013277139616	6.95921341452888	5.75500651693178e-06	0.00240051974028229
17	-	chr17:63057451-63500016	ENSMUSG00000023965	Fbxl17	protein_coding	[63057505, 63059468]	2	648	75.4	65.7	72.6	62.9	49.1	39.1	44.2	41.6	-0.678123549205867	5.84405364060482	5.97500930974287e-06	0.00240051974028229
19	+	chr19:6363689-6378029	ENSMUSG00000024949	Sf1	protein_coding	[6377195]	1	4567	326.5	330.6	299	329.8	453.6	384.8	457.8	549.9	0.520848890345886	8.61847437026055	6.5429637164837e-06	0.00252759721416778
14	+	chr14:121248705-121253970	ENSMUSG00000085133	B930095G15Rik	sense_intronic	[121253969, 121250012]	2	484	29.7	24.2	35.3	33.4	50.7	54.1	54.2	48.2	0.760304264564515	5.41931774763595	7.52577728573142e-06	0.00279958915029209
3	-	chr3:138925901-139075200	ENSMUSG00000028149	Rap1gds1	protein_coding	[138925905]	1	3274	339.7	320.2	327.2	327.5	206.5	269.2	216.2	249.6	-0.477903135114963	8.14635237966836	7.94080180950326e-06	0.00284847904909467
17	+	chr17:33915903-33919323	ENSMUSG00000051390	Zbtb22	protein_coding	[33919323]	1	1310	87.2	85.1	99.4	94.7	135.6	142.1	133.9	116.9	0.529830291904542	6.82571570882499	8.79507274244045e-06	0.00304612795258869
2	-	chr2:170346990-170427844	ENSMUSG00000013523	Bcas1	protein_coding	[170347147]	1	276	22.8	31.8	26.1	61.3	15.6	10.4	12.7	15.8	-1.37821321794691	4.66666730754201	9.36422652840924e-06	0.00310054963581597
5	-	chr5:109554708-109558992	ENSMUSG00000033467	Crlf2	protein_coding	[109554710]	1	963	92	96.1	112.1	105.6	76.4	69.6	65.6	52.2	-0.623531877930775	6.40522644876901	9.56959764140731e-06	0.00310054963581597
1	+	chr1:91179821-91225195	ENSMUSG00000034353	Ramp1	protein_coding	[91223670]	1	411	42.2	40.8	41.6	60.5	26.5	27	20.7	27.7	-0.850758097151931	5.20788587275887	1.07211810496072e-05	0.00336511070194545
8	+	chr8:18595130-18803188	ENSMUSG00000039842	Mcph1	protein_coding	[18635298, 18808091]	2	161	7.6	8.3	8.5	10.1	18.7	20.1	18.1	17.8	1.11883200498153	3.92307390255099	1.15821063996284e-05	0.00352517202054146
16	+	chr16:36184211-36188110	ENSMUSG00000079597	Gm5483	protein_coding	[36188107]	1	47	2.1	0.7	0.7	0.8	10.9	4	4	9.2	2.59537846341383	2.43787972910817	1.22563106255913e-05	0.0036206583506894
17	-	chr17:34950237-34952470	ENSMUSG00000092203	1110038B12Rik	processed_transcript	[34950241]	1	1209	96.2	80.2	75.5	82.3	116.9	124.2	137.9	111.6	0.554181672776673	6.71050616703589	1.34498954714892e-05	0.00385973571758964
1	-	chr1:175662420-175692775	ENSMUSG00000026525	Opn3	protein_coding	[175662430]	1	296	32.5	30.4	40.2	33.4	24.2	15	19.4	12.5	-0.958823259548262	4.75566798583603	1.49109834397856e-05	0.00416016437970018
X	-	chrX:8238667-8252405	ENSMUSG00000031171	Ftsj1	protein_coding	[8248522, 8240420]	2	206	12.5	8.3	7.8	16.3	28.8	21.3	22.8	23.8	1.10549794698777	4.25357981938038	1.63759586730682e-05	0.00444540888952154
5	+	chr5:35583039-35615351	ENSMUSG00000029098	Acox3	protein_coding	[35613798]	1	528	42.2	29.7	28.2	34.1	51.4	55.2	52.9	65.4	0.744246031318715	5.53993262329092	1.90689420294636e-05	0.00504022246694558
13	-	chr13:54051185-54055657	ENSMUSG00000021478	Drd1	protein_coding	[54051191]	1	67	4.8	10.4	10.6	10.9	3.1	1.7	3.3	2.6	-1.74644526637731	2.84028357253439	3.17890834621647e-05	0.00818691164856365
15	+	chr15:98167805-98170133	ENSMUSG00000029875	Ccdc184	protein_coding	[98170131]	1	9751	965.8	926.1	973.1	977.1	751.3	823	657.9	659.5	-0.409381903772114	9.71929609554353	3.29327394319554e-05	0.00821635906381984
1	+	chr1:134646676-134762592	ENSMUSG00000026452	Syt2	protein_coding	[134753146]	1	2287	208.2	233.1	219.3	257.7	155.1	184	151.9	171.7	-0.465978259705021	7.63531740278306	3.35394983688385e-05	0.00821635906381984
7	-	chr7:126689467-126695783	ENSMUSG00000059772	Slx1b	protein_coding	[126689474, 126695092]	2	540	31.8	38	33.8	32.6	66.2	51.2	44.2	72	0.769282413388404	5.57604640356118	3.62234200643588e-05	0.00866257216967666
8	+	chr8:57455922-57477584	ENSMUSG00000031610	Scrg1	protein_coding	[57477584, 57456107]	2	254	26.3	23.5	27.5	44.2	10.9	13.2	12.7	19.8	-1.082392170873	4.54617069119092	4.35462015688571e-05	0.0101282381627436
8	+	chr8:123477902-123503915	ENSMUSG00000031967	Afg3l1	protein_coding	[123503914]	1	773	56	51.9	56.4	50.4	74.8	77.6	79	81.2	0.540813454470392	6.07732484622905	4.48485464517097e-05	0.0101282381627436
7	-	chr7:4965259-4971167	ENSMUSG00000085272	Sbk3	protein_coding	[4965254]	1	35	3.5	6.9	3.5	7.8	1.6	0.6	0.7	0.7	-2.57344909996614	2.13653905084662	4.53774111234031e-05	0.0101282381627436
2	+	chr2:91457510-91513778	ENSMUSG00000027253	Lrp4	protein_coding	[91513899]	1	1025	112.8	110	84.6	121.8	58.5	80.5	61.6	78.6	-0.611533324293044	6.48839425715893	4.76595616381908e-05	0.0104063616759563
2	-	chr2:53134703-53191283	ENSMUSG00000061136	Prpf40a	protein_coding	[53144832, 53134705, 53136844, 53138910, 53138143]	5	905	69.9	59.5	67.7	50.4	106	89.1	96.4	80.5	0.579549798039047	6.30294778325008	5.40469016584536e-05	0.0115499378778193
13	-	chr13:83723441-83729581	ENSMUSG00000097265	Gm26803	lincRNA	[83729558]	1	88	4.2	2.8	4.2	3.9	9.4	13.8	13.4	7.3	1.53834068778791	3.15500637727771	5.75438393898583e-05	0.0120410483923278
9	+	chr9:102716671-102733417	ENSMUSG00000032531	Amotl2	protein_coding	[102733414]	1	923	62.3	65.7	71.9	53.6	95.9	78.2	106.4	98.4	0.572617076524421	6.33173232366443	6.35000362333462e-05	0.0128548701248518
18	-	chr18:31942996-31949635	ENSMUSG00000052229	Gpr17	protein_coding	[31943014]	1	584	49.1	60.9	52.2	109.4	28.8	30.5	39.5	40.3	-0.957499574608723	5.70537515349394	6.39927823817794e-05	0.0128548701248518
7	+	chr7:128062639-128128159	ENSMUSG00000030786	Itgam	protein_coding	[128118489]	1	42	0	0	0.7	3.1	10.1	4.6	3.3	7.3	2.67860789825899	2.3188693637234	7.28429006453844e-05	0.0143457665506322
5	+	chr5:138995055-139000576	ENSMUSG00000075585	6330403L08Rik	antisense	[139000575]	1	87	9	12.4	13.4	9.3	3.1	4.6	2	6.6	-1.40069245643917	3.14925910956083	8.46124724586452e-05	0.0163432244879737
9	+	chr9:58006410-58027022	ENSMUSG00000032323	Cyp11a1	protein_coding	[58006836]	1	177	30.4	17.3	17.6	19.4	11.7	10.4	8	8.6	-1.13373416517587	4.057789080373	9.08857063137083e-05	0.0172236987587714
3	+	chr3:103171654-103179165	ENSMUSG00000005687	Bcas2	protein_coding	[103178642, 103178826]	2	1144	77.5	78.8	60.6	83	115.4	81.7	133.9	155.1	0.693774521939652	6.63929328464958	9.47107683848154e-05	0.0176162029195757
1	+	chr1:24678629-24766300	ENSMUSG00000073725	Lmbrd1	protein_coding	[24762875, 24763563, 24763030]	3	691	65.7	71.9	67.7	82.3	48.3	49.5	40.8	53.5	-0.57748964357148	5.93322574279982	0.000106063119938248	0.0193690541210867
8	-	chr8:94674894-94696241	ENSMUSG00000031775	Pllp	protein_coding	[94675443]	1	117	13.1	15.2	11.3	18.6	5.5	5.2	3.3	9.9	-1.26828636923141	3.52097159769457	0.000109252758340659	0.0195952625852425
19	-	chr19:44073334-44107479	ENSMUSG00000025199	Chuk	protein_coding	[44081802, 44073335]	2	1216	87.2	94.1	82.5	86.1	119.2	111	116.5	136	0.462004606585393	6.72248251275329	0.000125019581738136	0.0216853007408547
12	-	chr12:56328305-56345893	ENSMUSG00000021028	Mbip	protein_coding	[56328317, 56337894]	2	326	22.8	18.7	24	17.1	31.2	32.2	38.2	37.6	0.747574785565067	4.87229245876594	0.000125223759754039	0.0216853007408547
8	-	chr8:69880368-69887686	ENSMUSG00000044006	Cilp2	protein_coding	[69880367]	1	1061	113.5	105.8	94.5	118	70.9	90.3	73.6	66	-0.512925288185594	6.53662271046792	0.000133746359963408	0.0227686176181774
1	-	chr1:79794196-79861179	ENSMUSG00000026249	Serpine2	protein_coding	[79794322]	1	9760	955.4	942.7	895.6	1023.7	667.2	773	659.3	820	-0.38586380243892	9.71995252620612	0.000139723765211107	0.0233897582963393
2	-	chr2:128966592-128967724	ENSMUSG00000074807	Gm10762	protein_coding	[128966201, 128966515]	2	243	22.1	29.7	25.4	34.1	16.4	17.3	16.1	8.6	-0.92526425993072	4.48362663723952	0.000144194209950182	0.0237424040121251
1	-	chr1:161240111-161251218	ENSMUSG00000026701	Prdx6	protein_coding	[161241012]	1	1873	181.3	188.1	169.9	206.4	130.9	141.5	123.8	153.8	-0.435889312702337	7.35012009490535	0.000150034165358055	0.0239842718916228
2	+	chr2:166792530-166799504	ENSMUSG00000042854	Trp53rkb	protein_coding	[166794387]	1	158	6.9	9.7	10.6	6.2	14	24.2	18.1	15.8	1.11433119592842	3.89368686054467	0.000150438981399068	0.0239842718916228
7	+	chr7:44384101-44400186	ENSMUSG00000030731	Syt3	protein_coding	[44400028]	1	935	97.5	98.9	91	88.5	60	76.5	64.3	67.3	-0.480575908228889	6.35492183202332	0.000165100043245074	0.025420814277153
1	-	chr1:135160233-135167680	ENSMUSG00000026424	Gpr37l1	protein_coding	[135160251]	1	195	18.7	19.4	19.7	35.7	9.4	9.2	12	13.2	-1.07771251938269	4.19022110464307	0.000167011591638669	0.025420814277153
7	+	chr7:35119292-35121925	ENSMUSG00000034957	Cebpa	protein_coding	[35121925]	1	281	6.2	3.5	3.5	5.4	12.5	8.1	4	144.6	3.1594599903485	4.66263158427118	0.000167042387723228	0.025420814277153
16	+	chr16:78930947-78951732	ENSMUSG00000022860	Chodl	protein_coding	[78951726]	1	2377	212.4	211.6	262.3	260	177.7	179.4	158.6	184.9	-0.43211307329578	7.69333256051676	0.00017012657331517	0.0255037507817547
16	-	chr16:23889580-23890843	ENSMUSG00000004366	Sst	protein_coding	[23889580]	1	2482	224.8	247.6	232.7	278.6	180	170.8	181.4	205.3	-0.414668566063568	7.75651411840327	0.00018527399080261	0.0273660582885503
6	-	chr6:27275118-28135177	ENSMUSG00000024211	Grm8	protein_coding	[27275127]	1	203	24.2	15.9	27.5	26.4	8.6	16.7	9.4	11.9	-0.981156216265532	4.23756944663572	0.000188313340398993	0.027411872332862
12	+	chr12:111540940-111541066	ENSMUSG00000064493	Snora28	snoRNA	[111544926]	1	259	25.6	32.5	22.6	35.7	11.7	17.8	16.1	17.8	-0.853131081990955	4.56789945456542	0.000197330662332676	0.0283141310352771
11	+	chr11:62602876-62604806	ENSMUSG00000086841	2410006H16Rik	processed_transcript	[62604805]	1	1750	126.6	122.4	137.5	128.8	182.4	173.7	158.6	169	0.406680452220844	7.24208486057002	0.00020389941388501	0.0288445875079019
14	-	chr14:118985038-119099429	ENSMUSG00000042104	Uggt2	protein_coding	[118986193, 119015004, 118983804]	3	414	28.4	31.1	24.7	26.4	43.6	43.7	44.2	40.3	0.632203234610521	5.20310815312679	0.000207692179669236	0.0289730590638584
15	-	chr15:38487429-38519265	ENSMUSG00000037458	Azin1	protein_coding	[38489794, 38490122, 38487427, 38489453, 38488311]	5	1320	124.5	123.1	129.8	162.2	90.4	82.8	89.7	115.5	-0.510001418329691	6.85526049482875	0.000211776999276269	0.0291381942565869
8	-	chr8:70882888-70892756	ENSMUSG00000000792	Slc5a5	protein_coding	[70882891]	1	194	9.7	13.8	7.8	12.4	23.4	15	26.1	25.1	1.02067487936843	4.17401175339073	0.000215520169018072	0.0292382114860087
13	-	chr13:43538411-43560190	ENSMUSG00000021371	Mcur1	protein_coding	[43541653, 43538407]	2	114	5.5	2.8	4.2	3.9	9.4	9.2	8.7	33	1.85544038872932	3.47772781401639	0.000218325951956457	0.0292382114860087
10	+	chr10:105841066-105847832	ENSMUSG00000019897	Ccdc59	protein_coding	[105847830]	1	262	18.7	15.9	16.2	12.4	24.9	23	30.8	36.3	0.852639296721014	4.5745637969541	0.000222962958891217	0.0294663152513603
3	-	chr3:153907286-153913008	ENSMUSG00000038975	Rabggtb	protein_coding	[153907456, 153907289]	2	1756	128.7	121.7	126.9	130.4	149.6	157	186.1	200	0.449517241814528	7.24477544076211	0.000227708393143504	0.0295211778083804
17	-	chr17:25830635-25833360	ENSMUSG00000039615	Stub1	protein_coding	[25830636]	1	4655	487.7	475.8	425.9	453.2	325.8	422.7	308.6	303.7	-0.43540659823966	8.65032605970611	0.00022979635585704	0.0295211778083804
2	+	chr2:167065275-167065364	ENSMUSG00000077698	Snord12	snoRNA	[167065856]	1	2444	190.3	154.2	179.8	184.7	244	251.3	198.8	268	0.44117219382517	7.71752637111882	0.00023275564249138	0.0295211778083804
4	+	chr4:6191097-6221687	ENSMUSG00000028243	Ubxn2b	protein_coding	[6221676]	1	717	62.3	80.2	80.4	73.7	50.7	52.9	56.2	40.3	-0.566311373471807	5.98379488474173	0.000235134829218482	0.0295211778083804
15	+	chr15:100869857-101045937	ENSMUSG00000023033	Scn8a	protein_coding	[101045909]	1	558	52.6	60.9	56.4	66.7	24.9	47.7	39.5	35.7	-0.658131753857557	5.62639547370525	0.000258280455513119	0.0320267764836268
11	+	chr11:96789126-96808639	ENSMUSG00000018666	Cbx1	protein_coding	[96808146]	1	1368	117.6	92	98	85.4	139.5	125.4	151.3	127.4	0.463248780836823	6.89006828922975	0.000264789863132572	0.0324335290890678
18	-	chr18:24484961-24530203	ENSMUSG00000040446	Rprd1a	protein_coding	[24503153, 24505427]	2	221	10.4	13.1	15.5	15.5	23.4	26.5	23.4	22.4	0.818072227146994	4.34401081410949	0.000271473981289012	0.0328516225068293
18	+	chr18:10617795-10628229	ENSMUSG00000002477	Snrpd1	protein_coding	[10628145, 10628651]	2	694	54	39.4	50.8	50.4	72.5	69.6	69.6	68.7	0.525790212130662	5.92767950618424	0.000278478165314409	0.0332980320525944
12	-	chr12:85272397-85288437	ENSMUSG00000008822	Acyp1	protein_coding	[85272404]	1	489	26.3	33.9	36.7	35.7	48.3	47.2	50.9	55.5	0.607403560592161	5.43631655605633	0.000288540927193701	0.034095353796865
2	-	chr2:152368754-152376637	ENSMUSG00000059361	Nrsn2	protein_coding	[152368758]	1	847	80.3	85.1	84.6	90.8	63.1	64.4	64.3	54.1	-0.467949503830399	6.21956962956444	0.000301848644619289	0.0352531137971644
14	+	chr14:59201208-59237264	ENSMUSG00000035469	Rcbtb1	protein_coding	[59237263]	1	180	12.5	11.1	8.5	8.5	13.2	20.7	23.4	23.1	0.990912223978066	4.06723346507655	0.000320893754401963	0.0370466306806128
6	+	chr6:114282634-114317531	ENSMUSG00000030310	Slc6a1	protein_coding	[114317523]	1	1390	145.3	126.6	119.2	171.5	102.9	103	99.1	97.7	-0.479805617118285	6.92723375934442	0.000332772159019594	0.0378869011725566
2	+	chr2:69821943-69836650	ENSMUSG00000042155	Klhl23	protein_coding	[69835993]	1	2417	217.9	224.1	249.6	265.4	183.2	190.4	192.8	150.5	-0.415327039888174	7.71668041717293	0.000336123495175784	0.0378869011725566
15	-	chr15:75746842-75747921	ENSMUSG00000047591	Mafa	protein_coding	[75745507]	1	1922	143.2	133.5	160.1	113.3	203.4	191.5	212.2	157.1	0.471299645495882	7.3739599973384	0.00033948836176126	0.0378869011725566
15	+	chr15:3268546-3280507	ENSMUSG00000064373	Sepp1	protein_coding	[3280505]	1	3842	374.3	394.2	342.7	492.1	277.5	206.5	233.6	361.1	-0.572197145937234	8.39247583051472	0.000364107831237533	0.0401879017247228
13	+	chr13:98316421-98324414	ENSMUSG00000048603	Gm9828	antisense	[98322670, 98317303]	2	108	3.5	9	6.3	3.1	10.9	15	11.4	13.2	1.18960274454391	3.40833995868331	0.000373606942939574	0.0407881319009248
5	-	chr5:74997987-75044773	ENSMUSG00000029229	Chic2	protein_coding	[75001017, 75005431]	2	407	19.4	29.7	33.1	23.3	35.1	43.1	43.5	48.9	0.694409165803511	5.17650705388317	0.000378901464457058	0.0409213581613622
5	-	chr5:122323222-122354232	ENSMUSG00000038569	Rad9b	protein_coding	[122325507]	1	66	6.2	9	7.8	10.9	3.1	2.3	2.7	4.6	-1.39039781484523	2.8219331993032	0.000385500069650423	0.0411910925486047
13	+	chr13:117602479-117976801	ENSMUSG00000021730	Hcn1	protein_coding	[117981024, 117980601, 117977588]	3	147	16.6	15.9	14.8	21	10.1	7.5	7.4	9.9	-0.969439864438279	3.81518334439857	0.000401528323021758	0.0424521102782162
9	+	chr9:108783795-108806336	ENSMUSG00000032599	Ip6k2	protein_coding	[108797988]	1	2043	145.3	149.4	172.8	121.1	229.1	188.1	220.9	175	0.461762389497011	7.4648883620305	0.000420496148824615	0.0439944095707753
8	+	chr8:83389866-83428551	ENSMUSG00000002190	Clgn	protein_coding	[83424193, 83428549, 83426829]	3	851	63.6	66.4	51.5	58.2	74	87.4	80.3	97.7	0.504376971771183	6.21099158343946	0.000436482918429936	0.0451962312650544
11	-	chr11:61775648-61855072	ENSMUSG00000004798	Ulk2	protein_coding	[61775649, 61853288, 61776207, 61781744, 61850104, 61776573]	6	4401	422.7	426	432.3	410.6	346.1	331.9	359.4	312.9	-0.3259149690517	8.57525927435015	0.000457024559722387	0.0468403538556292
6	+	chr6:38533501-38539448	ENSMUSG00000019689	1110001J03Rik	protein_coding	[38539447]	1	6988	505	503.5	554.3	552.6	659.4	612.5	656.6	752.6	0.341859037635091	9.23130130342237	0.000463857838176875	0.047060486127763
7	+	chr7:30184170-30186027	ENSMUSG00000074218	Cox7a1	protein_coding	[30186027]	1	432	6.9	4.8	6.3	4.7	8.6	4	5.4	246.9	3.51999984510812	5.25005444127796	0.000479901587603976	0.0482013154589433
17	+	chr17:27839973-27851967	ENSMUSG00000024217	Snrpc	protein_coding	[27851964]	1	2048	159.8	148.7	152.3	149	204.2	214.5	188.7	182.9	0.374245286414254	7.46441331383277	0.000500296987994101	0.0497523064100273
19	-	chr19:33517780-33719668	ENSMUSG00000024766	Lipo1	protein_coding	[33555164]	1	324	15.9	21.4	24.7	23.3	37.4	32.8	32.8	33.7	0.676313410764236	4.86729296171369	0.000511996846266404	0.0501933698875128
1	+	chr1:172341209-172374084	ENSMUSG00000044708	Kcnj10	protein_coding	[172374084]	1	629	67.1	57.4	59.9	73.7	39.7	42.6	44.8	50.8	-0.530388700393564	5.79978611820878	0.000514726911431085	0.0501933698875128
15	+	chr15:51877428-51884613	ENSMUSG00000022313	Utp23	protein_coding	[51884316]	1	57	9.7	8.3	7.8	3.9	0.8	2.9	3.3	2.6	-1.56002146634761	2.65083669112571	0.000531928663249312	0.0513720335930393
15	-	chr15:88955883-88979006	ENSMUSG00000035805	Mlc1	protein_coding	[88955890]	1	1119	107.9	105.8	96.6	149	76.4	70.7	88.3	84.5	-0.51896281249455	6.62075330533409	0.000548549831709658	0.0524727096161124
8	-	chr8:25725323-25754279	ENSMUSG00000061313	Ddhd2	protein_coding	[25725346, 25750762, 25743266]	3	1240	80.9	102.4	91	86.1	113.8	132.3	111.8	126.8	0.429408875333496	6.74550630720394	0.000558531071712975	0.0529234536253313
6	-	chr6:113743830-114042612	ENSMUSG00000030302	Atp2b2	protein_coding	[113743842, 113745674]	2	3076	307.9	287.7	280.7	310.4	236.2	231.2	223.6	249.6	-0.335195931992008	8.06108567903009	0.000587110163494321	0.0551115372162333
17	+	chr17:87107678-87137582	ENSMUSG00000037104	Socs5	protein_coding	[87136626]	1	894	79.6	94.8	99.4	87.7	51.4	78.2	65.6	58.1	-0.501654215350499	6.28989002860746	0.000597225297449787	0.0555419526628302
15	+	chr15:99717514-99725004	ENSMUSG00000023019	Gpd1	protein_coding	[99725004]	1	785	9.7	4.1	16.2	3.9	12.5	8.1	6.7	460.2	3.82935206453244	6.07937538476194	0.000633752223224285	0.0575918374193095
7	-	chr7:19696108-19699165	ENSMUSG00000002985	Apoe	protein_coding	[19696270]	1	7017	640	695.1	584.6	976.3	440.4	501.5	415.6	621.9	-0.547868747942582	9.25351241026135	0.000635849910311088	0.0575918374193095
10	-	chr10:117733678-117746357	ENSMUSG00000060181	Slc35e3	protein_coding	[117730639]	1	226	31.8	31.1	17.6	22.5	17.1	16.1	8	12.5	-0.939050298984798	4.38320619019633	0.000636468932053301	0.0575918374193095
6	+	chr6:120773577-120794335	ENSMUSG00000004902	Slc25a18	protein_coding	[120794166]	1	228	19.4	26.3	24.7	29.5	14	15	16.1	13.9	-0.749598972943819	4.39621693106095	0.000710347355924577	0.063702936097379
1	-	chr1:172271708-172298063	ENSMUSG00000007097	Atp1a2	protein_coding	[172271709, 172272510, 172272743]	3	1440	116.9	148	140.3	193.3	99	98.9	78.3	127.4	-0.565389513200616	6.98013222888037	0.000722346763396031	0.0642057601022101
2	-	chr2:154376312-154408098	ENSMUSG00000027488	Snta1	protein_coding	[154376321]	1	394	40.1	43.6	33.1	49.7	30.4	28.8	24.1	24.4	-0.62582164997817	5.14663985738424	0.000773159809060689	0.0676819204877073
4	-	chr4:98936664-99120914	ENSMUSG00000028556	Dock7	protein_coding	[98936856]	1	985	93.4	59.5	50.1	62.1	83.4	90.9	123.2	108.3	0.613329262096713	6.41842216182037	0.000774932383122893	0.0676819204877073
