chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:d14_WT1	c2:d14_WT2	c3:d14_WT3	c4:d14_WT4	t1:d14_HET1	t2:d14_HET2	t3:d14_HET3	t4:d14_HET4
6	-	chr6:113493638-113501930	ENSMUSG00000045009	Prrt3	protein_coding	[113493925]	1	53	7	7	6	5	4	8	7	9
X	+	chrX:21484543-21489163	ENSMUSG00000068122	Agtr2	protein_coding	[21488824]	1	96	10	19	12	13	3	16	17	6
8	+	chr8:106510912-106556907	ENSMUSG00000061048	Cdh3	protein_coding	[106556123]	1	261	22	38	25	28	44	33	42	29
10	-	chr10:59164112-59221846	ENSMUSG00000019917	Sept10	protein_coding	[59164121]	1	96	4	22	14	8	8	11	18	11
5	+	chr5:135994799-136032871	ENSMUSG00000004947	Dtx2	protein_coding	[136032863]	1	183	14	31	27	24	17	15	31	24
2	-	chr2:130171413-130179402	ENSMUSG00000027404	Snrpb	protein_coding	[130171644]	1	1010	80	177	130	119	143	117	126	118
2	-	chr2:130279308-130284546	ENSMUSG00000027406	Idh3b	protein_coding	[130279312]	1	729	50	92	106	66	97	87	120	111
11	-	chr11:53259813-53300456	ENSMUSG00000020361	Hspa4	protein_coding	[53261576, 53259816]	2	2665	201	407	434	262	324	282	376	379
2	-	chr2:129686564-129699843	ENSMUSG00000027400	Pdyn	protein_coding	[129686569]	1	626	46	108	85	70	85	76	75	81
11	+	chr11:49794177-49838612	ENSMUSG00000020363	Gfpt2	protein_coding	[49838611]	1	62	4	13	9	8	6	6	7	9
11	-	chr11:49671502-49712722	ENSMUSG00000020362	Cnot6	protein_coding	[49671505, 49673503]	2	1094	77	186	152	111	119	140	151	158
X	-	chrX:12675368-12762072	ENSMUSG00000064127	Med14	protein_coding	[12679744, 12675372, 12675558]	3	512	40	82	65	65	62	56	75	67
11	-	chr11:50293960-50325672	ENSMUSG00000020368	Canx	protein_coding	[50294477]	1	932	70	157	125	92	128	110	134	116
8	-	chr8:4209542-4217458	ENSMUSG00000064125	Prr36	protein_coding	[4209544]	1	380	25	45	57	50	35	51	54	63
11	+	chr11:30893729-31102703	ENSMUSG00000020305	Asb3	protein_coding	[31101468]	1	286	21	53	44	34	30	30	34	40
4	+	chr4:33924592-33948830	ENSMUSG00000044288	Cnr1	protein_coding	[33948816]	1	645	44	92	93	66	75	75	113	87
6	+	chr6:45306123-45307385	ENSMUSG00000107414	RP24-229C13.3	TEC	[45306538]	1	47	0	7	11	9	2	4	5	9
2	-	chr2:18040675-18049050	ENSMUSG00000054074	Skida1	protein_coding	[18044341]	1	62	3	6	8	8	11	10	7	9
11	+	chr11:101155906-101161786	ENSMUSG00000045007	Tubg2	protein_coding	[101161784]	1	435	40	79	51	43	63	63	54	42
12	-	chr12:111669354-111672337	ENSMUSG00000001270	Ckb	protein_coding	[111669358]	1	87	3	14	17	10	14	14	8	7
11	-	chr11:76726601-76763578	ENSMUSG00000010392	Gosr1	protein_coding	[76726602]	1	160	10	38	27	16	14	23	20	12
11	-	chr11:93859242-93885765	ENSMUSG00000054079	Utp18	protein_coding	[93859953, 93859267]	2	318	31	63	38	37	45	32	32	40
7	+	chr7:35119292-35121925	ENSMUSG00000034957	Cebpa	protein_coding	[35121925]	1	67	8	12	5	10	12	8	7	5
13	-	chr13:67667436-67687070	ENSMUSG00000048280	Zfp738	protein_coding	[67667439]	1	310	24	56	58	40	29	34	36	33
1	-	chr1:84369838-84696220	ENSMUSG00000036766	Dner	protein_coding	[84369840]	1	9122	690	1590	1357	1059	1070	1065	1172	1119
10	+	chr10:63382442-63408839	ENSMUSG00000036764	Dnajc12	protein_coding	[63408825]	1	639	44	99	82	84	78	59	108	85
11	+	chr11:103171106-103198900	ENSMUSG00000055805	Fmnl1	protein_coding	[103198894]	1	178	20	34	22	25	18	15	22	22
8	+	chr8:72723287-72758202	ENSMUSG00000031622	Sin3b	protein_coding	[72758200, 72739900]	2	1514	112	229	181	163	210	201	192	226
8	+	chr8:36993574-36995530	ENSMUSG00000074384	AI429214	protein_coding	[36995530]	1	45	4	8	5	3	6	10	5	4
13	-	chr13:75869536-75943924	ENSMUSG00000021589	Rhobtb3	protein_coding	[75869532]	1	46	5	10	3	1	6	6	6	9
5	-	chr5:114363566-114380507	ENSMUSG00000001098	Kctd10	protein_coding	[114363572]	1	176	12	26	32	20	17	22	22	25
16	-	chr16:91014036-91044542	ENSMUSG00000022974	Paxbp1	protein_coding	[91014036, 91014942, 91014791]	3	914	64	137	146	101	118	104	119	125
X	+	chrX:103013697-103014386	ENSMUSG00000084842	Pabpc1l2b-ps	processed_pseudogene	[103016206]	1	1026	81	193	153	113	128	128	109	121
4	+	chr4:99657741-99657829	ENSMUSG00000092763	Gm23366	miRNA	[99658671]	1	131	13	24	20	10	13	16	18	17
12	-	chr12:13219307-13249212	ENSMUSG00000037149	Ddx1	protein_coding	[13243907, 13219307, 13231390]	3	470	39	80	76	51	43	58	74	49
8	+	chr8:46739744-46847457	ENSMUSG00000031627	Irf2	protein_coding	[46807390, 46847446]	2	106	13	21	13	12	6	14	14	13
11	-	chr11:21321137-21371200	ENSMUSG00000001891	Ugp2	protein_coding	[21321673, 21321949]	2	555	45	92	90	65	67	65	74	57
12	-	chr12:58958382-59012016	ENSMUSG00000020986	Sec23a	protein_coding	[58958789, 58958383]	2	1189	69	197	174	136	156	141	165	151
12	-	chr12:69690435-69724873	ENSMUSG00000020988	L2hgdh	protein_coding	[69690449]	1	100	11	11	20	10	13	11	9	15
19	-	chr19:37021290-37208600	ENSMUSG00000039652	Cpeb3	protein_coding	[37021296, 37019342]	2	767	68	131	97	64	104	68	138	97
1	-	chr1:155776028-155812888	ENSMUSG00000033684	Qsox1	protein_coding	[155778162]	1	834	60	150	121	79	92	109	98	125
18	+	chr18:52767708-52915934	ENSMUSG00000024534	Sncaip	protein_coding	[52915930]	1	422	27	79	72	40	40	51	56	57
1	-	chr1:175962305-176275311	ENSMUSG00000055214	Pld5	protein_coding	[175962303]	1	40	6	4	3	5	7	4	8	3
16	+	chr16:13671928-13678404	ENSMUSG00000079737	3110001I22Rik	protein_coding	[13678384]	1	104	13	21	14	8	11	8	14	15
18	+	chr18:67464848-67480580	ENSMUSG00000024530	Slmo1	protein_coding	[67480578, 67465550]	2	686	45	114	89	88	86	74	89	101
18	-	chr18:67488208-67552776	ENSMUSG00000024533	Spire1	protein_coding	[67489273, 67488210, 67488516, 67489861, 67488775]	5	813	63	126	112	73	119	94	108	118
18	-	chr18:53406340-53418006	ENSMUSG00000024538	Ppic	protein_coding	[53406337]	1	712	52	212	99	72	60	112	62	43
4	+	chr4:155831271-155833129	ENSMUSG00000065990	Aurkaip1	protein_coding	[155833058]	1	783	71	144	95	90	93	112	93	85
1	-	chr1:75307895-75317989	ENSMUSG00000026209	Dnpep	protein_coding	[75308565]	1	484	26	101	61	55	61	60	67	53
X	+	chrX:99821020-99848789	ENSMUSG00000071719	Tmem28	protein_coding	[99848786]	1	229	18	30	33	17	25	29	34	43
7	-	chr7:105634202-105640415	ENSMUSG00000030881	Arfip2	protein_coding	[105634208, 105635621]	2	569	46	98	83	78	65	54	62	83
1	+	chr1:75210837-75215605	ENSMUSG00000026201	Stk16	protein_coding	[75214241]	1	497	31	82	84	58	56	68	69	49
1	-	chr1:75214227-75219864	ENSMUSG00000026202	Tuba4a	protein_coding	[75215555, 75214974]	2	1296	112	236	192	125	180	150	169	132
1	+	chr1:75236405-75245691	ENSMUSG00000026203	Dnajb2	protein_coding	[75245689]	1	473	40	82	77	47	51	46	58	72
1	-	chr1:75247026-75264501	ENSMUSG00000026204	Ptprn	protein_coding	[75247042]	1	193	16	28	29	23	27	17	24	29
7	+	chr7:120635175-120659477	ENSMUSG00000030884	Uqcrc2	protein_coding	[120659270]	1	964	70	144	147	91	136	124	132	120
2	-	chr2:39016154-39065540	ENSMUSG00000026754	Golga1	protein_coding	[39016504]	1	302	26	60	50	26	37	34	25	44
1	+	chr1:75375296-75432319	ENSMUSG00000026207	Speg	protein_coding	[75404562]	1	200	9	31	23	29	23	25	32	28
6	-	chr6:88835913-88841983	ENSMUSG00000030083	Abtb1	protein_coding	[88835915]	1	123	8	26	14	4	17	16	18	20
6	-	chr6:88503578-88518904	ENSMUSG00000030082	Sec61a1	protein_coding	[88503604]	1	2705	199	460	401	292	315	333	361	344
6	-	chr6:89316313-89362619	ENSMUSG00000030084	Plxna1	protein_coding	[89316315]	1	911	60	159	144	100	110	117	107	114
6	-	chr6:89383145-89595651	ENSMUSG00000030086	Chchd6	protein_coding	[89383155]	1	666	55	116	96	77	96	73	73	80
3	-	chr3:89093587-89101958	ENSMUSG00000059743	Fdps	protein_coding	[89093588]	1	910	73	139	161	108	98	107	109	115
13	-	chr13:52967208-52981072	ENSMUSG00000056749	Nfil3	protein_coding	[52967209]	1	211	13	31	28	23	26	29	37	24
X	+	chrX:136993154-136998471	ENSMUSG00000031428	Zcchc18	protein_coding	[136996236, 136996371, 136996092]	3	4180	313	735	573	474	573	519	562	431
7	-	chr7:92581722-92637141	ENSMUSG00000041343	Ankrd42	protein_coding	[92584204]	1	62	8	10	7	5	6	8	7	11
9	-	chr9:15283336-15306447	ENSMUSG00000031938	4931406C07Rik	protein_coding	[15283336]	1	358	25	55	53	47	44	33	58	43
9	+	chr9:15306213-15312103	ENSMUSG00000031939	Taf1d	protein_coding	[15312103]	1	45	2	9	7	3	5	8	3	8
9	+	chr9:65346067-65359641	ENSMUSG00000041837	Pdcd7	protein_coding	[65359640]	1	731	50	120	96	100	91	83	103	88
9	-	chr9:14780208-14782963	ENSMUSG00000031931	Ankrd49	protein_coding	[14779786]	1	66	3	4	11	6	4	11	15	12
X	+	chrX:136822670-136839732	ENSMUSG00000031425	Plp1	protein_coding	[136838332]	1	97	5	23	12	4	16	13	17	7
9	-	chr9:15005160-15045477	ENSMUSG00000031934	Panx1	protein_coding	[15005786]	1	691	47	125	90	87	72	93	87	90
3	-	chr3:5177585-5220840	ENSMUSG00000086224	2700069I18Rik	antisense	[5177819, 5172756]	2	103	8	8	16	10	18	15	15	13
8	-	chr8:15892536-17535585	ENSMUSG00000060924	Csmd1	protein_coding	[15892544]	1	151	13	21	32	12	19	16	17	21
7	-	chr7:141160327-141172850	ENSMUSG00000038650	Rnh1	protein_coding	[141160327]	1	436	28	84	65	49	57	59	44	50
17	-	chr17:35681566-35704620	ENSMUSG00000003534	Ddr1	protein_coding	[35681567]	1	1625	105	282	223	168	218	188	217	224
19	+	chr19:29522281-29606828	ENSMUSG00000038658	Ric1	protein_coding	[29605184, 29606673]	2	205	9	41	25	13	26	26	28	37
8	+	chr8:84872110-84888220	ENSMUSG00000003824	Syce2	protein_coding	[84887394]	1	296	18	60	34	25	41	40	34	44
6	-	chr6:125306570-125313884	ENSMUSG00000030339	Ltbr	protein_coding	[125306571]	1	415	22	83	71	41	58	51	45	44
17	-	chr17:10206470-10319360	ENSMUSG00000062078	Qk	protein_coding	[10276292, 10208613, 10301548, 10203890, 10212948, 10217940, 10215380]	7	1173	75	188	198	126	123	180	145	138
10	-	chr10:80901202-80918244	ENSMUSG00000062075	Lmnb2	protein_coding	[80901363]	1	419	31	60	70	44	39	52	54	69
6	+	chr6:125039759-125049264	ENSMUSG00000030330	Ing4	protein_coding	[125049000, 125049263]	2	836	56	144	122	77	92	102	118	125
5	+	chr5:57945041-57946911	ENSMUSG00000104871	RP24-231P10.2	TEC	[57949429]	1	42	3	10	7	5	6	4	5	2
1	+	chr1:171150710-171161129	ENSMUSG00000056569	Mpz	protein_coding	[171161122]	1	52	4	20	5	6	6	4	4	3
5	+	chr5:34908011-34923838	ENSMUSG00000051246	Msantd1	protein_coding	[34909395, 34912517]	2	293	24	47	45	24	39	29	39	46
14	+	chr14:13284779-13615458	ENSMUSG00000056296	Synpr	protein_coding	[13615382]	1	592	50	95	79	54	77	68	90	79
18	+	chr18:37400854-37403908	ENSMUSG00000051242	Pcdhb9	protein_coding	[37403907]	1	177	9	25	28	18	32	25	20	20
9	-	chr9:58196297-58204318	ENSMUSG00000051243	Islr2	protein_coding	[58196303]	1	1491	104	225	222	156	161	177	215	231
14	-	chr14:102976580-102982636	ENSMUSG00000098557	Kctd12	protein_coding	[102976586]	1	917	73	171	134	107	97	117	105	113
6	+	chr6:83109039-83109938	ENSMUSG00000030037	Mrpl53	protein_coding	[83109936]	1	1542	96	237	239	155	187	201	233	194
8	-	chr8:78433009-78436644	ENSMUSG00000031688	Pou4f2	protein_coding	[78433009]	1	132	6	21	18	16	19	9	21	22
4	+	chr4:148039076-148059550	ENSMUSG00000029009	Mthfr	protein_coding	[148059547]	1	180	10	39	32	15	24	16	28	16
8	+	chr8:78509334-78734004	ENSMUSG00000031684	Slc10a7	protein_coding	[78734002]	1	60	5	6	4	7	8	15	6	9
4	-	chr4:148098436-148130697	ENSMUSG00000029005	Draxin	protein_coding	[148098437]	1	327	18	42	54	38	40	52	34	49
5	+	chr5:23434440-23504234	ENSMUSG00000029004	Kmt2e	protein_coding	[23503816]	1	1593	124	250	214	191	197	197	214	206
14	+	chr14:68083862-68089094	ENSMUSG00000022055	Nefl	protein_coding	[68087888, 68089092]	2	4751	381	855	751	484	562	580	615	523
8	-	chr8:79338394-79399517	ENSMUSG00000031681	Smad1	protein_coding	[79338409, 79338654]	2	406	39	77	62	47	39	43	50	49
4	-	chr4:148152799-148160481	ENSMUSG00000029001	Fbxo44	protein_coding	[148152800]	1	376	31	56	50	37	55	55	44	48
9	+	chr9:57940112-57962863	ENSMUSG00000038264	Sema7a	protein_coding	[57962863]	1	1052	102	182	155	123	120	121	121	128
13	-	chr13:34179157-34345181	ENSMUSG00000038267	Slc22a23	protein_coding	[34179171, 34179644]	2	1747	127	268	305	178	209	210	217	233
7	-	chr7:45303154-45333779	ENSMUSG00000038260	Trpm4	protein_coding	[45303357]	1	39	4	6	5	5	4	5	5	5
2	-	chr2:24420559-24475598	ENSMUSG00000026976	Pax8	protein_coding	[24420555]	1	169	13	26	21	14	17	30	24	24
2	+	chr2:60209886-60250675	ENSMUSG00000026977	March7	protein_coding	[60249204]	1	868	68	164	127	98	115	105	99	92
2	+	chr2:24949791-24962074	ENSMUSG00000026974	Zmynd19	protein_coding	[24962073]	1	61	3	4	8	10	8	6	12	10
2	+	chr2:24962399-24972162	ENSMUSG00000026975	Dph7	protein_coding	[24972160]	1	206	15	34	24	27	20	29	33	24
2	-	chr2:24925351-24935251	ENSMUSG00000026972	Arrdc1	protein_coding	[24925354]	1	227	24	41	30	26	29	33	20	24
11	+	chr11:74830919-74845724	ENSMUSG00000000282	Mnt	protein_coding	[74845708]	1	198	10	33	26	14	23	27	26	39
2	-	chr2:60750192-60963191	ENSMUSG00000026970	Rbms1	protein_coding	[60750193, 60751986, 60752207]	3	1341	90	247	207	157	148	160	173	159
4	+	chr4:25009233-25271098	ENSMUSG00000085885	Gm11906	processed_transcript	[25012719]	1	67	5	14	7	5	9	6	12	9
12	+	chr12:33394853-33401268	ENSMUSG00000020562	Efcab10	protein_coding	[33401268]	1	42	2	9	9	4	5	6	7	0
12	+	chr12:33429623-33439379	ENSMUSG00000020561	Twistnb	protein_coding	[33440445, 33439405]	2	113	5	14	14	17	14	15	21	13
19	+	chr19:27216483-27254230	ENSMUSG00000024924	Vldlr	protein_coding	[27254221]	1	219	25	27	37	22	36	20	23	29
4	+	chr4:138216295-138244682	ENSMUSG00000028759	Hp1bp3	protein_coding	[138243141, 138244679]	2	2995	233	470	452	334	382	319	413	392
12	+	chr12:33147692-33375658	ENSMUSG00000020564	Atxn7l1	protein_coding	[33375656]	1	60	3	8	8	10	11	9	6	5
7	-	chr7:81347025-81455464	ENSMUSG00000025586	Cpeb1	protein_coding	[81347026]	1	141	10	31	22	10	21	15	19	13
4	+	chr4:138304729-138312627	ENSMUSG00000028757	Ddost	protein_coding	[138312224, 138312611]	2	712	45	143	95	67	92	90	91	89
11	-	chr11:119538718-119547752	ENSMUSG00000025582	Nptx1	protein_coding	[119538720]	1	258	15	41	35	32	40	26	29	40
11	-	chr11:119288362-119300088	ENSMUSG00000025580	Eif4a3	protein_coding	[119288364]	1	2847	232	397	363	338	346	356	413	402
6	-	chr6:39801803-39810987	ENSMUSG00000029918	Mrps33	protein_coding	[39802181]	1	272	21	51	45	27	32	28	37	31
6	+	chr6:40325171-40396761	ENSMUSG00000029916	Agk	protein_coding	[40396760]	1	218	15	41	38	18	24	26	33	23
6	+	chr6:40471351-40484699	ENSMUSG00000029911	Ssbp1	protein_coding	[40481823]	1	58	1	2	8	6	11	8	13	9
15	+	chr15:74955050-74959904	ENSMUSG00000022587	Ly6e	protein_coding	[74959330]	1	935	85	193	120	88	115	136	107	91
11	-	chr11:102994046-103028332	ENSMUSG00000020935	Dcakd	protein_coding	[102994046]	1	727	61	112	107	79	81	74	94	119
X	-	chrX:102513974-102644245	ENSMUSG00000034055	Phka1	protein_coding	[102513977, 102515364]	2	279	19	44	38	33	36	32	41	36
7	-	chr7:126648542-126649593	ENSMUSG00000066175	2510046G10Rik	antisense	[126648911]	1	54	5	11	9	5	7	6	5	6
3	+	chr3:96176360-96176486	ENSMUSG00000084686	Gm22027	snoRNA	[96177964, 96177388]	2	1879	132	321	278	202	245	216	255	230
15	-	chr15:98949840-98953550	ENSMUSG00000072235	Tuba1a	protein_coding	[98949840]	1	149720	10658	24089	21125	17291	17712	18250	19700	20895
11	+	chr11:105292642-105351138	ENSMUSG00000020695	Mrc2	protein_coding	[105351136]	1	40	8	9	5	6	2	4	4	2
11	+	chr11:105178806-105283958	ENSMUSG00000020694	Tlk2	protein_coding	[105282175]	1	1333	93	215	219	130	174	153	179	170
11	+	chr11:82781107-82804273	ENSMUSG00000020697	Lig3	protein_coding	[82804272]	1	188	19	22	34	29	24	19	18	23
11	-	chr11:82802448-82871209	ENSMUSG00000020696	Rffl	protein_coding	[82803819]	1	44	2	9	5	4	7	6	3	8
11	-	chr11:82900767-82908410	ENSMUSG00000020692	Nle1	protein_coding	[82900769]	1	67	8	16	10	7	7	6	3	10
13	-	chr13:84025296-84064771	ENSMUSG00000098087	Gm17750	lincRNA	[84025300]	1	655	38	80	103	79	50	82	102	121
9	-	chr9:43108652-43116569	ENSMUSG00000048503	Tmem136	protein_coding	[43108658]	1	111	7	16	25	10	8	11	20	14
7	-	chr7:46923538-46958526	ENSMUSG00000043262	Uevld	protein_coding	[46923216]	1	44	4	6	3	9	6	4	5	7
5	-	chr5:115122549-115134974	ENSMUSG00000046562	Unc119b	protein_coding	[115122562]	1	395	30	67	69	44	47	41	48	49
1	-	chr1:168119363-168432269	ENSMUSG00000052534	Pbx1	protein_coding	[168158330, 168120003, 168153860]	3	216	19	38	35	26	27	22	29	20
2	+	chr2:30301078-30344265	ENSMUSG00000052533	Nup188	protein_coding	[30344259]	1	671	51	95	93	77	97	83	89	86
19	-	chr19:52943416-53040213	ENSMUSG00000025027	Xpnpep1	protein_coding	[52991182]	1	238	17	44	39	25	28	21	38	26
13	+	chr13:49187484-49196243	ENSMUSG00000037966	Ninj1	protein_coding	[49196242]	1	156	12	32	20	19	16	18	23	16
16	-	chr16:11136591-11176392	ENSMUSG00000037965	Zc3h7a	protein_coding	[11136600, 11148519]	2	508	35	80	82	65	71	72	52	51
7	-	chr7:16197146-16222036	ENSMUSG00000006019	Dhx34	protein_coding	[16197223]	1	40	2	5	2	4	3	8	9	7
13	-	chr13:49202950-49216025	ENSMUSG00000037960	1110007C09Rik	protein_coding	[49202950]	1	200	12	29	28	23	29	18	30	31
1	-	chr1:150361304-150393079	ENSMUSG00000006010	BC003331	protein_coding	[150361312]	1	228	14	48	31	23	20	34	29	29
7	-	chr7:41399377-41478878	ENSMUSG00000092592	Gm20449	protein_coding	[41478873]	1	74	4	17	8	10	4	12	10	9
17	+	chr17:86167784-86657918	ENSMUSG00000045038	Prkce	protein_coding	[86657917]	1	1518	124	280	226	195	153	194	185	161
7	+	chr7:25317163-25365916	ENSMUSG00000045039	Megf8	protein_coding	[25365912]	1	503	49	88	67	41	54	54	76	74
7	-	chr7:80349097-80371374	ENSMUSG00000038886	Man2a2	protein_coding	[80349097]	1	747	58	116	103	83	104	91	103	89
13	+	chr13:92425895-92441657	ENSMUSG00000045034	Ankrd34b	protein_coding	[92441656]	1	197	12	34	27	25	24	21	25	29
7	+	chr7:43672015-43678297	ENSMUSG00000038888	Ctu1	protein_coding	[43678293]	1	423	29	59	56	39	59	61	55	65
4	-	chr4:101152366-101265281	ENSMUSG00000028530	Jak1	protein_coding	[101177745, 101153050, 101152367]	3	6940	534	1160	1041	816	842	800	877	870
7	-	chr7:80902226-80905075	ENSMUSG00000025723	Nmb	protein_coding	[80902234]	1	80	7	12	12	14	11	9	9	6
4	+	chr4:100776674-101029219	ENSMUSG00000028532	Cachd1	protein_coding	[101004543]	1	84	9	9	12	9	12	13	11	9
15	+	chr15:25984365-25998481	ENSMUSG00000052253	Zfp622	protein_coding	[25998481, 25997426]	2	682	43	109	97	75	91	76	100	91
6	+	chr6:90369491-90403489	ENSMUSG00000034430	Zxdc	protein_coding	[90383091]	1	51	1	8	7	6	11	4	8	6
1	+	chr1:90602980-90613340	ENSMUSG00000034432	Cops8	protein_coding	[90613338, 90613123]	2	1003	88	166	127	110	114	140	131	127
4	-	chr4:117932153-118134913	ENSMUSG00000028538	St3gal3	protein_coding	[117932159]	1	191	16	26	28	19	16	29	29	28
X	-	chrX:85701936-85776818	ENSMUSG00000025059	Gk	protein_coding	[85702595]	1	241	30	37	34	17	32	30	31	30
17	-	chr17:25926426-25942231	ENSMUSG00000025728	Pigq	protein_coding	[25926427]	1	623	57	126	66	70	77	84	79	64
16	-	chr16:28160119-28445226	ENSMUSG00000022523	Fgf12	protein_coding	[28263746, 28328361, 28279667, 28162326, 28275320, 28160094, 28158591]	7	629	53	109	94	58	70	83	91	71
9	+	chr9:57589451-57596232	ENSMUSG00000032308	Ulk3	protein_coding	[57596227]	1	469	28	85	65	70	50	56	64	51
9	+	chr9:55208924-55224432	ENSMUSG00000032309	Fbxo22	protein_coding	[55224430]	1	353	24	45	54	43	46	44	46	51
13	+	chr13:73604001-73620638	ENSMUSG00000021610	Clptm1l	protein_coding	[73620602]	1	2221	153	398	343	211	265	284	277	290
13	+	chr13:73627000-73649040	ENSMUSG00000021611	Tert	protein_coding	[73652364]	1	206	18	36	32	20	25	26	20	29
13	-	chr13:89655311-89742508	ENSMUSG00000021614	Vcan	protein_coding	[89656225, 89655315, 89657057]	3	727	59	129	106	71	106	74	94	88
13	-	chr13:89774026-90089607	ENSMUSG00000021615	Xrcc4	protein_coding	[89848920]	1	73	2	11	12	7	9	8	16	8
9	+	chr9:54950789-54958029	ENSMUSG00000032301	Psma4	protein_coding	[54958031]	1	319	27	58	52	28	32	33	40	49
6	-	chr6:30366379-30391027	ENSMUSG00000039130	Zc3hc1	protein_coding	[30366387]	1	1019	76	196	148	115	110	127	115	132
3	-	chr3:152093532-152166229	ENSMUSG00000039131	Gipc2	protein_coding	[152093842]	1	148	8	28	15	21	24	17	20	15
18	-	chr18:56761715-56925547	ENSMUSG00000032656	March3	protein_coding	[56775154]	1	120	9	16	21	11	15	18	14	16
3	+	chr3:89183142-89189294	ENSMUSG00000032657	Fam189b	protein_coding	[89189288]	1	396	37	71	49	49	40	41	64	45
9	+	chr9:55148853-55207528	ENSMUSG00000032307	Ube2q2	protein_coding	[55207520, 55192771]	2	194	7	27	27	24	22	28	34	25
5	+	chr5:143270074-143272512	ENSMUSG00000105345	RP23-301L9.3	lincRNA	[143272511]	1	42	2	6	5	6	9	2	2	10
15	-	chr15:76852147-76871434	ENSMUSG00000022526	Zfp251	protein_coding	[76851290]	1	40	4	6	7	2	4	5	6	6
9	-	chr9:50662751-50739516	ENSMUSG00000032064	Dixdc1	protein_coding	[50662754]	1	309	22	45	59	32	36	44	39	32
5	-	chr5:76655928-76658354	ENSMUSG00000103529	A730089K16Rik	TEC	[76655377]	1	73	7	11	9	11	9	6	13	7
2	+	chr2:164497519-164508300	ENSMUSG00000017721	Pigt	protein_coding	[164508299]	1	4219	341	1159	395	490	569	750	269	246
11	-	chr11:101769741-101785370	ENSMUSG00000017724	Etv4	protein_coding	[101769747]	1	970	74	193	126	111	117	142	99	108
14	+	chr14:21831268-21845878	ENSMUSG00000021771	Vdac2	protein_coding	[21845698, 21845876]	2	619	55	105	70	76	90	78	69	76
