chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:KO_WT1	c2:KO_WT2	c3:KO_WT3	c4:KO_WT4	t1:KO_HOM1	t2:KO_HOM2	t3:KO_HOM3	t4:KO_HOM4
X	-	chrX:12675368-12762072	ENSMUSG00000064127	Med14	protein_coding	[12679744, 12675372, 12675558]	3	676	88	76	83	70	84	104	102	69
11	-	chr11:50293960-50325672	ENSMUSG00000020368	Canx	protein_coding	[50294477]	1	1545	182	181	193	186	176	232	201	194
8	-	chr8:4209542-4217458	ENSMUSG00000064125	Prr36	protein_coding	[4209544]	1	563	65	74	81	52	54	79	94	64
11	+	chr11:30893729-31102703	ENSMUSG00000020305	Asb3	protein_coding	[31105355, 31101468]	2	446	48	50	68	52	56	65	56	51
4	+	chr4:33924592-33948830	ENSMUSG00000044288	Cnr1	protein_coding	[33948816]	1	565	72	71	67	64	51	89	72	79
6	+	chr6:45306123-45307385	ENSMUSG00000107414	RP24-229C13.3	TEC	[45306538]	1	44	2	9	1	5	5	6	10	6
2	-	chr2:18040675-18049050	ENSMUSG00000054074	Skida1	protein_coding	[18044088, 18044341]	2	169	21	18	23	12	22	31	24	18
11	+	chr11:101155906-101161786	ENSMUSG00000045007	Tubg2	protein_coding	[101161784]	1	562	91	69	75	72	47	79	72	57
12	-	chr12:111669354-111672337	ENSMUSG00000001270	Ckb	protein_coding	[111669358]	1	104	22	13	14	14	7	12	12	10
11	-	chr11:76726601-76763578	ENSMUSG00000010392	Gosr1	protein_coding	[76726602]	1	52	7	5	7	7	2	6	7	11
11	-	chr11:93859242-93885765	ENSMUSG00000054079	Utp18	protein_coding	[93859953, 93859267]	2	287	36	32	41	30	32	49	34	33
7	+	chr7:35119292-35121925	ENSMUSG00000034957	Cebpa	protein_coding	[35121925]	1	281	9	5	5	7	16	14	6	219
13	-	chr13:67667436-67687070	ENSMUSG00000048280	Zfp738	protein_coding	[67667439]	1	576	75	80	72	58	62	74	82	73
1	-	chr1:84369838-84696220	ENSMUSG00000036766	Dner	protein_coding	[84369840]	1	12418	1553	1695	1667	1443	1335	1743	1615	1367
10	+	chr10:63382442-63408839	ENSMUSG00000036764	Dnajc12	protein_coding	[63408825]	1	882	89	114	116	68	130	130	124	111
11	+	chr11:103171106-103198900	ENSMUSG00000055805	Fmnl1	protein_coding	[103198894]	1	244	41	26	32	28	23	40	25	29
X	-	chrX:7731713-7750904	ENSMUSG00000031150	Ccdc120	protein_coding	[7731716]	1	471	54	49	58	53	72	84	49	52
8	+	chr8:36993574-36995530	ENSMUSG00000074384	AI429214	protein_coding	[36995530]	1	51	9	7	5	8	5	9	4	4
13	-	chr13:75869536-75943924	ENSMUSG00000021589	Rhobtb3	protein_coding	[75912746, 75869532]	2	108	13	17	16	13	12	14	12	11
5	-	chr5:114363566-114380507	ENSMUSG00000001098	Kctd10	protein_coding	[114363572]	1	352	40	46	37	36	41	50	58	44
16	-	chr16:91014036-91044542	ENSMUSG00000022974	Paxbp1	protein_coding	[91014791, 91014036, 91014942, 91014239]	4	1293	134	163	154	119	156	212	202	153
X	+	chrX:103013697-103014386	ENSMUSG00000084842	Pabpc1l2b-ps	processed_pseudogene	[103016206]	1	1063	150	145	135	133	104	143	128	125
7	-	chr7:119768678-119794057	ENSMUSG00000030929	Eri2	protein_coding	[119783848]	1	398	43	54	54	49	32	71	49	46
12	-	chr12:13219307-13249212	ENSMUSG00000037149	Ddx1	protein_coding	[13243907, 13219307, 13231390, 13239502]	4	861	118	112	109	80	106	124	98	114
8	-	chr8:77250365-77517906	ENSMUSG00000037148	Arhgap10	protein_coding	[77250366]	1	53	9	7	3	4	10	9	8	3
4	+	chr4:155734799-155740563	ENSMUSG00000084845	Tmem240	protein_coding	[155736149]	1	61	9	8	5	4	7	14	4	10
11	-	chr11:21321137-21371200	ENSMUSG00000001891	Ugp2	protein_coding	[21321673, 21321949]	2	459	70	60	58	58	48	54	47	64
12	-	chr12:58958382-59012016	ENSMUSG00000020986	Sec23a	protein_coding	[58958789, 58958383]	2	1286	165	167	155	108	143	206	164	178
12	-	chr12:69690435-69724873	ENSMUSG00000020988	L2hgdh	protein_coding	[69690449]	1	78	7	6	13	12	6	7	10	17
19	-	chr19:37021290-37208600	ENSMUSG00000039652	Cpeb3	protein_coding	[37021296, 37019342]	2	1065	135	153	132	112	111	151	143	128
1	-	chr1:155776028-155812888	ENSMUSG00000033684	Qsox1	protein_coding	[155778162]	1	1993	246	240	229	255	216	327	271	209
18	+	chr18:52767708-52915934	ENSMUSG00000024534	Sncaip	protein_coding	[52915930]	1	516	73	66	62	51	49	77	70	68
1	-	chr1:175962305-176275311	ENSMUSG00000055214	Pld5	protein_coding	[175962303]	1	45	9	6	8	6	1	6	3	6
16	+	chr16:13671928-13678404	ENSMUSG00000079737	3110001I22Rik	protein_coding	[13678384]	1	150	22	17	17	11	14	28	24	17
18	+	chr18:67464848-67480580	ENSMUSG00000024530	Slmo1	protein_coding	[67480578]	1	992	130	109	131	103	116	175	125	103
4	-	chr4:114906281-114908872	ENSMUSG00000055210	Foxd2	protein_coding	[114906282]	1	61	6	13	5	7	3	5	9	13
18	-	chr18:67488208-67552776	ENSMUSG00000024533	Spire1	protein_coding	[67488210, 67488516, 67489861, 67488775]	4	865	113	108	113	81	90	133	114	113
18	-	chr18:53406340-53418006	ENSMUSG00000024538	Ppic	protein_coding	[53406337]	1	1022	97	108	111	108	119	145	125	209
4	+	chr4:155831271-155833129	ENSMUSG00000065990	Aurkaip1	protein_coding	[155833058]	1	1198	166	137	120	135	123	203	152	162
1	-	chr1:75307895-75317989	ENSMUSG00000026209	Dnpep	protein_coding	[75308565]	1	823	120	97	91	83	98	167	93	74
X	+	chrX:99821020-99848789	ENSMUSG00000071719	Tmem28	protein_coding	[99848786]	1	357	51	47	39	33	39	46	66	36
7	-	chr7:105634202-105640415	ENSMUSG00000030881	Arfip2	protein_coding	[105634208, 105635621]	2	852	89	125	97	95	86	140	128	92
1	+	chr1:75210837-75215605	ENSMUSG00000026201	Stk16	protein_coding	[75214241]	1	734	98	79	97	97	62	103	93	105
1	-	chr1:75214227-75219864	ENSMUSG00000026202	Tuba4a	protein_coding	[75215555, 75214974]	2	2427	296	303	288	433	222	312	227	346
1	+	chr1:75236405-75245691	ENSMUSG00000026203	Dnajb2	protein_coding	[75245689]	1	1102	152	138	155	134	119	135	138	131
1	-	chr1:75247026-75264501	ENSMUSG00000026204	Ptprn	protein_coding	[75247042]	1	360	37	56	45	48	36	60	38	40
7	+	chr7:120635175-120659477	ENSMUSG00000030884	Uqcrc2	protein_coding	[120659270]	1	1706	197	203	196	228	160	210	192	320
2	-	chr2:39016154-39065540	ENSMUSG00000026754	Golga1	protein_coding	[39016504]	1	504	73	64	67	52	53	83	54	58
1	+	chr1:75375296-75432319	ENSMUSG00000026207	Speg	protein_coding	[75404562]	1	361	54	48	36	39	45	51	43	45
6	-	chr6:88835913-88841983	ENSMUSG00000030083	Abtb1	protein_coding	[88835915]	1	246	24	26	29	29	34	48	30	26
6	-	chr6:88503578-88518904	ENSMUSG00000030082	Sec61a1	protein_coding	[88503604]	1	6071	689	707	754	682	634	864	773	968
6	-	chr6:89316313-89362619	ENSMUSG00000030084	Plxna1	protein_coding	[89316315]	1	1175	170	140	152	120	144	174	124	151
6	-	chr6:89383145-89595651	ENSMUSG00000030086	Chchd6	protein_coding	[89383155]	1	1035	136	142	156	117	107	133	118	126
3	-	chr3:89093587-89101958	ENSMUSG00000059743	Fdps	protein_coding	[89093588]	1	1845	268	236	216	220	177	276	240	212
7	-	chr7:43695208-43797944	ENSMUSG00000097178	2310002F09Rik	lincRNA	[43747034]	1	42	5	5	7	7	7	2	2	7
13	-	chr13:52967208-52981072	ENSMUSG00000056749	Nfil3	protein_coding	[52967209]	1	339	63	41	34	39	27	52	44	39
X	+	chrX:136993154-136998471	ENSMUSG00000031428	Zcchc18	protein_coding	[136996236, 136996371, 136996092]	3	5907	795	713	722	760	630	841	719	727
X	-	chrX:140948428-140956727	ENSMUSG00000031429	Psmd10	protein_coding	[140949236, 140948428]	2	121	17	23	10	16	13	17	12	13
9	-	chr9:15283336-15306447	ENSMUSG00000031938	4931406C07Rik	protein_coding	[15283336]	1	483	45	57	66	52	49	65	60	89
9	+	chr9:15306213-15312103	ENSMUSG00000031939	Taf1d	protein_coding	[15312103]	1	41	5	2	6	6	5	5	8	4
9	+	chr9:65346067-65359641	ENSMUSG00000041837	Pdcd7	protein_coding	[65359640]	1	764	82	107	86	74	84	128	106	97
9	-	chr9:14780208-14782963	ENSMUSG00000031931	Ankrd49	protein_coding	[14779786]	1	108	10	11	13	9	15	19	19	12
3	-	chr3:57644348-57651714	ENSMUSG00000036513	Commd2	protein_coding	[57646359]	1	1424	167	139	158	141	175	238	217	189
9	-	chr9:15005160-15045477	ENSMUSG00000031934	Panx1	protein_coding	[15005786]	1	1369	195	178	175	141	142	198	176	164
3	-	chr3:5177585-5220840	ENSMUSG00000086224	2700069I18Rik	antisense	[5177819, 5172756]	2	162	12	18	19	16	27	27	26	17
8	-	chr8:15892536-17535585	ENSMUSG00000060924	Csmd1	protein_coding	[15892544]	1	208	28	21	26	23	17	28	29	36
7	-	chr7:141160327-141172850	ENSMUSG00000038650	Rnh1	protein_coding	[141160327]	1	796	103	84	93	93	84	113	99	127
17	-	chr17:35681566-35704620	ENSMUSG00000003534	Ddr1	protein_coding	[35681567]	1	2830	335	404	392	240	381	426	440	212
19	+	chr19:29522281-29606828	ENSMUSG00000038658	Ric1	protein_coding	[29605184, 29606673, 29605029]	3	283	36	36	24	32	33	49	41	32
8	+	chr8:84872110-84888220	ENSMUSG00000003824	Syce2	protein_coding	[84887394]	1	423	53	63	45	46	49	65	51	51
6	-	chr6:125306570-125313884	ENSMUSG00000030339	Ltbr	protein_coding	[125306571]	1	1104	105	108	158	144	110	141	136	202
17	-	chr17:10206470-10319360	ENSMUSG00000062078	Qk	protein_coding	[10210499, 10276292, 10208613, 10248846, 10228816, 10217940, 10206551, 10212948]	8	1243	192	174	146	155	131	150	144	151
10	-	chr10:80901202-80918244	ENSMUSG00000062075	Lmnb2	protein_coding	[80901363]	1	753	96	83	85	68	106	113	117	85
6	+	chr6:125039759-125049264	ENSMUSG00000030330	Ing4	protein_coding	[125049000, 125049263]	2	1599	174	198	192	152	210	273	214	186
5	+	chr5:57945041-57946911	ENSMUSG00000104871	RP24-231P10.2	TEC	[57949429]	1	52	2	3	14	2	9	8	10	4
1	+	chr1:171150710-171161129	ENSMUSG00000056569	Mpz	protein_coding	[171161122]	1	78	5	10	11	16	4	16	7	9
5	+	chr5:34908011-34923838	ENSMUSG00000051246	Msantd1	protein_coding	[34909395, 34912517]	2	454	56	51	36	66	51	66	64	64
14	+	chr14:13284779-13615458	ENSMUSG00000056296	Synpr	protein_coding	[13615382]	1	860	117	108	105	94	100	122	108	106
18	+	chr18:37400854-37403908	ENSMUSG00000051242	Pcdhb9	protein_coding	[37403907]	1	152	15	22	24	13	15	14	26	23
9	-	chr9:58196297-58204318	ENSMUSG00000051243	Islr2	protein_coding	[58196303]	1	3740	497	446	470	420	436	591	485	395
14	-	chr14:102976580-102982636	ENSMUSG00000098557	Kctd12	protein_coding	[102976586]	1	961	125	124	115	133	105	134	110	115
6	+	chr6:83109039-83109938	ENSMUSG00000030037	Mrpl53	protein_coding	[83109936]	1	3092	308	358	367	335	342	459	395	528
8	-	chr8:78433009-78436644	ENSMUSG00000031688	Pou4f2	protein_coding	[78433009]	1	167	18	13	17	10	22	29	43	15
4	+	chr4:148039076-148059550	ENSMUSG00000029009	Mthfr	protein_coding	[148059547]	1	235	20	33	22	25	37	38	27	33
4	-	chr4:148077060-148088030	ENSMUSG00000029007	Agtrap	protein_coding	[148077066]	1	77	3	8	8	10	5	15	12	16
4	-	chr4:148098436-148130697	ENSMUSG00000029005	Draxin	protein_coding	[148098437]	1	564	73	71	73	50	71	110	67	49
5	+	chr5:23434440-23504234	ENSMUSG00000029004	Kmt2e	protein_coding	[23503816]	1	2399	311	315	287	283	270	327	321	285
14	+	chr14:68083862-68089094	ENSMUSG00000022055	Nefl	protein_coding	[68087888, 68089092]	2	6129	836	756	788	891	528	793	623	914
8	-	chr8:79338394-79399517	ENSMUSG00000031681	Smad1	protein_coding	[79338409, 79338654]	2	472	67	63	59	36	59	65	82	41
4	-	chr4:148152799-148160481	ENSMUSG00000029001	Fbxo44	protein_coding	[148152800]	1	676	90	61	67	65	109	114	92	78
8	-	chr8:78804864-78821139	ENSMUSG00000031683	Lsm6	protein_coding	[78807082]	1	74	10	5	5	14	14	6	8	12
9	+	chr9:57940112-57962863	ENSMUSG00000038264	Sema7a	protein_coding	[57962863]	1	1215	166	149	160	164	132	188	148	108
13	-	chr13:34179157-34345181	ENSMUSG00000038267	Slc22a23	protein_coding	[34179171, 34179644]	2	2867	351	369	350	301	308	458	398	332
7	-	chr7:45303154-45333779	ENSMUSG00000038260	Trpm4	protein_coding	[45303357]	1	76	13	11	7	4	11	13	10	7
2	-	chr2:24420559-24475598	ENSMUSG00000026976	Pax8	protein_coding	[24420555]	1	277	24	32	23	28	42	52	51	25
2	+	chr2:60209886-60250675	ENSMUSG00000026977	March7	protein_coding	[60249204, 60228093]	2	1309	172	182	180	144	126	190	158	157
2	+	chr2:24949791-24962074	ENSMUSG00000026974	Zmynd19	protein_coding	[24962073]	1	52	5	4	4	9	5	12	9	4
2	+	chr2:24962399-24972162	ENSMUSG00000026975	Dph7	protein_coding	[24972160]	1	189	18	25	18	24	24	29	30	21
2	-	chr2:24925351-24935251	ENSMUSG00000026972	Arrdc1	protein_coding	[24925354]	1	331	32	43	39	37	46	58	34	42
11	+	chr11:74830919-74845724	ENSMUSG00000000282	Mnt	protein_coding	[74845708]	1	359	36	41	36	36	47	53	48	62
2	-	chr2:60750192-60963191	ENSMUSG00000026970	Rbms1	protein_coding	[60750193, 60751986, 60959431]	3	1555	191	206	200	145	208	213	210	182
4	+	chr4:25009233-25271098	ENSMUSG00000085885	Gm11906	processed_transcript	[25012719]	1	63	1	10	7	7	13	7	10	8
12	+	chr12:33394853-33401268	ENSMUSG00000020562	Efcab10	protein_coding	[33401268]	1	74	8	11	10	10	7	11	5	12
12	+	chr12:33429623-33439379	ENSMUSG00000020561	Twistnb	protein_coding	[33440445]	1	50	8	6	6	4	6	12	2	6
19	+	chr19:27216483-27254230	ENSMUSG00000024924	Vldlr	protein_coding	[27254221]	1	231	30	30	26	20	18	41	33	33
4	+	chr4:138216295-138244682	ENSMUSG00000028759	Hp1bp3	protein_coding	[138243141, 138244679]	2	4704	589	533	537	485	579	731	627	623
12	+	chr12:33147692-33375658	ENSMUSG00000020564	Atxn7l1	protein_coding	[33375656]	1	67	8	7	13	5	7	9	10	8
7	-	chr7:81347025-81455464	ENSMUSG00000025586	Cpeb1	protein_coding	[81347026]	1	236	17	29	20	36	22	41	31	40
7	+	chr7:81213595-81334532	ENSMUSG00000025584	Pde8a	protein_coding	[81334527]	1	38	4	6	2	6	4	5	4	7
4	+	chr4:138304729-138312627	ENSMUSG00000028757	Ddost	protein_coding	[138312224, 138312611]	2	1245	128	172	131	131	130	177	197	179
11	-	chr11:119538718-119547752	ENSMUSG00000025582	Nptx1	protein_coding	[119538720]	1	242	33	31	33	34	26	30	33	22
11	+	chr11:119602904-119899575	ENSMUSG00000025583	Rptor	protein_coding	[119659287]	1	61	5	6	7	14	6	7	7	9
11	-	chr11:119288362-119300088	ENSMUSG00000025580	Eif4a3	protein_coding	[119288364]	1	3921	438	478	510	388	448	659	544	456
6	-	chr6:39801803-39810987	ENSMUSG00000029918	Mrps33	protein_coding	[39802181]	1	510	66	47	76	58	53	71	58	81
6	+	chr6:40325171-40396761	ENSMUSG00000029916	Agk	protein_coding	[40396760]	1	179	21	17	37	18	17	30	23	16
6	+	chr6:40471351-40484699	ENSMUSG00000029911	Ssbp1	protein_coding	[40481823]	1	91	8	11	17	14	3	10	20	8
12	+	chr12:111726391-111727126	ENSMUSG00000090193	Gm15995	processed_transcript	[111727105]	1	66	4	7	7	9	6	10	12	11
15	+	chr15:74955050-74959904	ENSMUSG00000022587	Ly6e	protein_coding	[74959330]	1	1169	163	146	144	158	101	154	113	190
11	-	chr11:102994046-103028332	ENSMUSG00000020935	Dcakd	protein_coding	[102994046]	1	1130	129	139	151	112	138	181	140	140
X	-	chrX:102513974-102644245	ENSMUSG00000034055	Phka1	protein_coding	[102513977, 102515364]	2	409	50	55	58	52	37	60	50	47
7	-	chr7:126648542-126649593	ENSMUSG00000066175	2510046G10Rik	antisense	[126648911]	1	99	9	12	14	2	10	13	18	21
3	+	chr3:96176360-96176486	ENSMUSG00000084686	Gm22027	snoRNA	[96177964, 96177388]	2	2498	294	305	284	243	316	401	365	290
13	-	chr13:12471208-12520449	ENSMUSG00000095105	Edaradd	protein_coding	[12472632]	1	49	5	7	5	5	6	10	6	5
15	-	chr15:98949840-98953550	ENSMUSG00000072235	Tuba1a	protein_coding	[98949840]	1	273555	33431	32628	35360	30442	30378	39729	39147	32440
11	+	chr11:105292642-105351138	ENSMUSG00000020695	Mrc2	protein_coding	[105351136]	1	45	5	7	1	5	6	4	6	11
11	+	chr11:105178806-105283958	ENSMUSG00000020694	Tlk2	protein_coding	[105282175]	1	2083	238	260	247	223	252	328	262	273
11	+	chr11:82781107-82804273	ENSMUSG00000020697	Lig3	protein_coding	[82804272]	1	271	37	25	20	46	27	37	35	44
11	-	chr11:82802448-82871209	ENSMUSG00000020696	Rffl	protein_coding	[82803819]	1	48	5	2	7	7	8	8	3	8
11	-	chr11:82900767-82908410	ENSMUSG00000020692	Nle1	protein_coding	[82900769]	1	139	14	15	14	15	13	25	21	22
13	-	chr13:84025296-84064771	ENSMUSG00000098087	Gm17750	lincRNA	[84025300]	1	1020	118	117	111	83	155	164	183	89
9	-	chr9:43108652-43116569	ENSMUSG00000048503	Tmem136	protein_coding	[43108658]	1	97	14	13	9	7	10	16	20	8
7	-	chr7:46923538-46958526	ENSMUSG00000043262	Uevld	protein_coding	[46923216]	1	61	8	16	2	3	8	6	10	8
5	-	chr5:115122549-115134974	ENSMUSG00000046562	Unc119b	protein_coding	[115122562]	1	667	79	71	83	66	82	119	79	88
1	-	chr1:168119363-168432269	ENSMUSG00000052534	Pbx1	protein_coding	[168158330, 168120003]	2	173	16	18	28	22	18	24	21	26
2	+	chr2:30301078-30344265	ENSMUSG00000052533	Nup188	protein_coding	[30344259]	1	960	112	122	120	99	117	181	102	107
19	-	chr19:52943416-53040213	ENSMUSG00000025027	Xpnpep1	protein_coding	[52991182]	1	366	34	45	55	26	42	57	47	60
13	+	chr13:49187484-49196243	ENSMUSG00000037966	Ninj1	protein_coding	[49196242]	1	234	43	23	35	25	21	30	25	32
16	-	chr16:11136591-11176392	ENSMUSG00000037965	Zc3h7a	protein_coding	[11136600, 11148519]	2	722	76	104	85	73	75	116	93	100
5	+	chr5:125003220-125012546	ENSMUSG00000037962	Fam101a	protein_coding	[125012545]	1	42	4	7	6	2	5	9	5	4
7	-	chr7:16197146-16222036	ENSMUSG00000006019	Dhx34	protein_coding	[16197223]	1	68	6	12	12	3	6	13	10	6
13	-	chr13:49202950-49216025	ENSMUSG00000037960	1110007C09Rik	protein_coding	[49202950]	1	339	38	43	39	40	49	53	43	34
1	-	chr1:150361304-150393079	ENSMUSG00000006010	BC003331	protein_coding	[150361312]	1	349	38	34	32	50	44	46	40	65
7	-	chr7:41399377-41478878	ENSMUSG00000092592	Gm20449	protein_coding	[41478873]	1	121	16	15	19	11	19	10	10	21
17	+	chr17:86167784-86657918	ENSMUSG00000045038	Prkce	protein_coding	[86657917]	1	1880	252	251	257	230	195	246	239	210
7	+	chr7:25317163-25365916	ENSMUSG00000045039	Megf8	protein_coding	[25365912]	1	817	106	113	95	84	79	124	135	81
7	-	chr7:80349097-80371374	ENSMUSG00000038886	Man2a2	protein_coding	[80349097]	1	1417	157	163	176	158	158	242	168	195
13	+	chr13:92425895-92441657	ENSMUSG00000045034	Ankrd34b	protein_coding	[92441656]	1	160	23	22	20	22	13	14	23	23
7	+	chr7:43672015-43678297	ENSMUSG00000038888	Ctu1	protein_coding	[43678293]	1	590	83	75	80	57	73	76	71	75
17	-	chr17:65256004-65540781	ENSMUSG00000045036	Tmem232	protein_coding	[65256004]	1	43	5	6	3	7	4	8	6	4
4	-	chr4:101152366-101265281	ENSMUSG00000028530	Jak1	protein_coding	[101177745, 101153050, 101152367]	3	9832	1138	1292	1342	1128	1133	1416	1183	1200
7	-	chr7:80902226-80905075	ENSMUSG00000025723	Nmb	protein_coding	[80902234]	1	97	11	11	12	10	12	16	17	8
4	+	chr4:100776674-101029219	ENSMUSG00000028532	Cachd1	protein_coding	[101004543]	1	91	18	6	8	12	11	15	10	11
15	+	chr15:25984365-25998481	ENSMUSG00000052253	Zfp622	protein_coding	[25998481, 25997426]	2	921	106	101	118	97	111	152	119	117
6	+	chr6:90369491-90403489	ENSMUSG00000034430	Zxdc	protein_coding	[90383091]	1	38	4	1	8	5	2	5	4	9
1	+	chr1:90602980-90613340	ENSMUSG00000034432	Cops8	protein_coding	[90613338, 90613123]	2	1259	144	152	165	127	166	189	155	161
4	-	chr4:117932153-118134913	ENSMUSG00000028538	St3gal3	protein_coding	[117932159]	1	279	31	31	43	37	30	40	34	33
X	-	chrX:85701936-85776818	ENSMUSG00000025059	Gk	protein_coding	[85702595]	1	342	40	40	36	42	25	51	49	59
17	-	chr17:25926426-25942231	ENSMUSG00000025728	Pigq	protein_coding	[25926427]	1	1255	155	168	139	164	142	194	137	156
16	-	chr16:28160119-28445226	ENSMUSG00000022523	Fgf12	protein_coding	[28263746, 28328361, 28279667, 28162326, 28275320, 28160094, 28158591]	7	740	78	97	94	90	75	115	108	83
9	+	chr9:57589451-57596232	ENSMUSG00000032308	Ulk3	protein_coding	[57596227]	1	1118	122	129	110	119	154	168	160	156
9	+	chr9:55208924-55224432	ENSMUSG00000032309	Fbxo22	protein_coding	[55224430]	1	448	62	49	47	54	46	64	65	61
13	+	chr13:73604001-73620638	ENSMUSG00000021610	Clptm1l	protein_coding	[73620602]	1	2512	318	318	314	275	304	378	320	285
13	+	chr13:73627000-73649040	ENSMUSG00000021611	Tert	protein_coding	[73652364]	1	413	48	59	52	47	50	66	57	34
13	-	chr13:89655311-89742508	ENSMUSG00000021614	Vcan	protein_coding	[89656225, 89655315, 89704341, 89657057]	4	542	56	82	73	59	58	62	75	77
13	-	chr13:89774026-90089607	ENSMUSG00000021615	Xrcc4	protein_coding	[89848920]	1	53	6	7	2	9	6	6	6	11
9	+	chr9:54950789-54958029	ENSMUSG00000032301	Psma4	protein_coding	[54958031]	1	384	42	39	56	53	50	43	59	42
6	-	chr6:30366379-30391027	ENSMUSG00000039130	Zc3hc1	protein_coding	[30366387]	1	1960	243	247	249	186	235	293	275	232
